age_group,males,females,all,per_male,per_female,per_all
0–4,273,282,555,0,0,0
5–9,1164,1110,2274,0.1,0.1,0.1
10–14,2526,2521,5047,0.3,0.3,0.3
15–19,3732,3637,7369,0.5,0.5,0.5
20–24,5050,4835,9904,0.6,0.6,0.6
25–29,6922,6870,13796,0.8,0.8,0.8
30–34,10002,10442,20446,1.1,1.1,1.1
35–39,16900,15371,32273,1.8,1.6,1.7
40–44,25014,21012,46029,3.1,2.5,2.8
45–49,36450,30777,67231,4.5,3.7,4.1
50–54,52585,45494,98087,6.6,5.6,6.1
55–59,70235,58549,128788,9.2,7.4,8.3
60–64,87319,70266,157588,12.3,9.3,10.8
65–69,99230,76749,175982,16.1,11.6,13.7
70–74,105684,79829,185516,19.1,13.5,16.2
75–79,85945,67344,153291,22.2,16.1,19
80–84,55324,50777,106103,22.1,17.2,19.5
85+,44466,53345,97812,21.3,16.4,18.3
