year,males,females,all,per_males,per_females,per_persons
2000,1411,1084,2495,14.8,11.4,13.1
2001,1439,1125,2564,14.9,11.7,13.3
2002,1310,984,2294,13.4,10.2,11.8
2003,1406,1105,2511,14.3,11.4,12.8
2004,1405,1052,2457,14.2,10.9,12.5
2005,1330,1040,2370,13.3,10.7,12
2006,1319,984,2303,13.1,10,11.5
2007,1544,1075,2619,15.1,10.8,12.9
2008,1487,1109,2596,14.3,10.9,12.6
2009,1403,1030,2433,13.2,10,11.6
2010,1474,1124,2598,13.8,10.8,12.3
2011,1520,1116,2636,14,10.5,12.3
2012,1520,1069,2589,13.8,10,11.9
2013,1507,1108,2615,13.6,10.3,11.9
2014,1525,1168,2693,13.5,10.7,12.1
2015,1575,1233,2808,13.8,11.1,12.5
2016,1588,1175,2763,13.7,10.4,12
2017,1680,1215,2896,14.3,10.6,12.4
2018,1702,1276,2978,14.2,10.9,12.5
2019,1851,1360,3211,15.3,11.4,13.3
2020,1811,1332,3144,14.8,11.1,12.9
2021,1730,1268,2999,14.1,10.7,12.4
